column,missing_share
sedol,1.0
defeasance_type,0.9999555420535126
defeased_date,0.9999481323957646
security_pledge,0.999914788935899
press_release,0.9981401759052749
refunding_date,0.9947206188546152
registration_rights,0.985810505412755
treasury_maturity,0.9249957394467949
reallowance,0.8625730777495387
treasury_spread,0.8601575293237206
selling_concession,0.6418319637815929
gross_spread,0.47484421194585025
offering_yield,0.04505442393615839
offering_price,0.03473647552219563
dep_eligibility,0.021413910891455924
sec_reg_type2,0.008939752072851755
putable,0.003860431686660393
slob,0.0037122385317022205
asset_backed,0.0037122385317022205
defeased,0.0037122385317022205
exchangeable,0.0037085337028282665
convertible,0.0037085337028282665
overallotment_opt,0.003704828873954312
oid,0.0036974192162064034
preferred_security,0.0036974192162064034
canadian,0.003586274349987774
issue_offered_global,0.003349165302054698
rule_415_reg,0.0032824783823235206
fungible,0.003278773553449566
unit_deal,0.0032713638957016576
defaulted,0.00323061077808816
announced_call,0.003215791462592343
refund_protection,0.003030550018894627
delivery_date,0.0029416341259197237
yankee,0.0028675375484406374
private_placement,0.002793440970961551
enhancement,0.0027489830244740994
tender_exch_offer,0.002471120858927526
covenants,0.0023488615060870337
isin,0.0021747345490111814
subsequent_data,0.001496750865077542
sec_reg_type1,0.0012670514748923747
security_level,0.0005038567268577864
redeemable,0.00026674767892471046
mtn,5.927726198326899e-05
offering_date,5.557243310931468e-05
settlement_type,4.0753117613497433e-05
rule_144a,3.334345986558881e-05
foreign_currency,3.334345986558881e-05
comp_neg_exch_deal,1.852414436977156e-05
denomination,1.4819315495817248e-05
offering_amt,1.1114486621862937e-05
prospectus_issuer_name,0.0
issue_id,0.0
issuer_id,0.0
maturity,0.0
issue_cusip,0.0
issue_name,0.0
coupon_type,0.0
issuer_cusip,0.0
principal_amt,0.0
form_of_own,0.0
active_issue,0.0
bond_type,0.0
perpetual,0.0
complete_cusip,0.0
cusip,0.0
