week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2020-01-03,7261,1488,7261,736
2020-01-10,8726,1640,8726,826
2020-01-17,8764,1625,8764,828
2020-01-24,8484,1586,8484,807
2020-01-31,8754,1628,8754,813
2020-02-07,8789,1621,8789,815
2020-02-14,8715,1611,8715,817
2020-02-21,8489,1587,8489,804
2020-02-28,8815,1622,8815,808
2020-03-06,8909,1624,8909,813
2020-03-13,8416,1575,8416,790
2020-03-20,8096,1531,8096,789
2020-03-27,8798,1581,8798,813
2020-04-03,8662,1578,8662,808
2020-04-10,8429,1575,8429,800
2020-04-17,8846,1603,8846,811
2020-04-24,8778,1588,8778,809
2020-05-01,8793,1586,8793,806
2020-05-08,8741,1592,8741,805
2020-05-15,8872,1612,8872,824
2020-05-22,8921,1594,8921,821
2020-05-29,8823,1581,8823,817
2020-06-05,9000,1622,9000,818
2020-06-12,8876,1610,8876,814
2020-06-19,8935,1598,8935,823
2020-06-26,9042,1607,9042,842
2020-07-03,8691,1560,8691,817
2020-07-10,8969,1610,8969,826
2020-07-17,8846,1605,8846,812
2020-07-24,9053,1607,9053,838
2020-07-31,9075,1615,9075,832
2020-08-07,8817,1597,8817,821
2020-08-14,8940,1598,8940,833
2020-08-21,8877,1597,8877,822
2020-08-28,9008,1604,9008,831
2020-09-04,9006,1607,9006,831
2020-09-11,8536,1576,8536,799
2020-09-18,9042,1610,9042,839
2020-09-25,8843,1595,8843,828
2020-10-02,9044,1584,9044,845
2020-10-09,9035,1595,9035,840
2020-10-16,8803,1599,8803,834
2020-10-23,9009,1621,9009,850
2020-10-30,9058,1617,9058,846
2020-11-06,8868,1603,8868,834
2020-11-13,8907,1612,8907,827
2020-11-20,9131,1628,9131,833
2020-11-27,8503,1558,8503,795
2020-12-04,9259,1639,9259,847
2020-12-11,9212,1637,9212,850
2020-12-18,9254,1643,9254,846
2020-12-25,8212,1560,8212,783
2021-01-01,8071,1546,8071,768
