week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2024-01-05,9731,1524,9731,807
2024-01-12,9750,1552,9750,818
2024-01-19,9509,1536,9509,816
2024-01-26,9849,1557,9849,823
2024-02-02,9991,1563,9991,826
2024-02-09,9873,1543,9873,818
2024-02-16,9850,1549,9850,816
2024-02-23,9712,1519,9712,807
2024-03-01,10097,1554,10097,822
2024-03-08,10035,1546,10035,820
2024-03-15,10073,1540,10073,820
2024-03-22,10104,1539,10104,818
2024-03-29,9865,1516,9865,819
2024-04-05,10111,1545,10111,820
2024-04-12,10029,1549,10029,822
2024-04-19,10081,1563,10081,822
2024-04-26,10094,1544,10094,818
2024-05-03,10233,1557,10233,821
2024-05-10,10115,1544,10115,821
2024-05-17,10194,1550,10194,829
2024-05-24,9982,1530,9982,814
2024-05-31,9968,1533,9968,819
2024-06-07,10192,1545,10192,831
2024-06-14,10114,1546,10114,826
2024-06-21,10084,1544,10084,822
2024-06-28,10372,1564,10372,835
2024-07-05,9673,1495,9673,803
2024-07-12,10267,1547,10267,825
2024-07-19,10181,1547,10181,828
2024-07-26,10206,1543,10206,820
2024-08-02,10404,1558,10404,819
2024-08-09,10305,1545,10305,828
2024-08-16,10315,1536,10315,819
2024-08-23,10305,1542,10305,829
2024-08-30,10361,1543,10361,832
2024-09-06,10036,1512,10036,824
2024-09-13,10406,1552,10406,838
2024-09-20,10498,1560,10498,833
2024-09-27,10463,1561,10463,830
2024-10-04,10390,1557,10390,842
2024-10-11,10278,1551,10278,834
2024-10-18,10175,1544,10175,831
2024-10-25,10358,1542,10358,834
2024-11-01,10459,1550,10459,844
2024-11-08,10334,1540,10334,835
2024-11-15,10272,1515,10272,839
2024-11-22,10473,1548,10473,834
2024-11-29,10080,1528,10080,833
2024-12-06,10615,1579,10615,840
2024-12-13,10633,1556,10633,835
2024-12-20,10615,1570,10615,835
2024-12-27,9605,1496,9605,805
2025-01-03,8925,1427,8925,780
