week_end,curve_ready_bonds,curve_ready_issuers,bond_weeks,fitted_curves
2024-01-05,199,153,199,8
2024-01-12,202,160,202,7
2024-01-19,193,157,193,6
2024-01-26,198,158,198,5
2024-02-02,205,162,205,7
2024-02-09,203,162,203,5
2024-02-16,200,160,200,6
2024-02-23,200,154,200,6
2024-03-01,208,162,208,6
2024-03-08,201,162,201,3
2024-03-15,206,162,206,5
2024-03-22,214,165,214,8
2024-03-29,206,162,206,7
2024-04-05,215,167,215,7
2024-04-12,206,163,206,4
2024-04-19,210,165,210,7
2024-04-26,208,162,208,5
2024-05-03,212,166,212,7
2024-05-10,203,164,203,7
2024-05-17,204,161,204,6
2024-05-24,200,156,200,7
2024-05-31,208,169,208,6
2024-06-07,211,164,211,8
2024-06-14,205,166,205,4
2024-06-21,201,162,201,6
2024-06-28,216,167,216,8
2024-07-05,197,160,197,6
2024-07-12,204,164,204,6
2024-07-19,202,161,202,5
2024-07-26,206,165,206,5
2024-08-02,220,171,220,8
2024-08-09,215,167,215,7
2024-08-16,217,168,217,6
2024-08-23,212,171,212,4
2024-08-30,201,162,201,4
2024-09-06,206,167,206,5
2024-09-13,211,169,211,6
2024-09-20,219,168,219,8
2024-09-27,217,172,217,7
2024-10-04,215,174,215,6
2024-10-11,205,168,205,3
2024-10-18,199,162,199,3
2024-10-25,208,166,208,5
2024-11-01,207,164,207,6
2024-11-08,211,166,211,9
2024-11-15,205,162,205,5
2024-11-22,212,169,212,6
2024-11-29,196,163,196,5
2024-12-06,216,170,216,7
2024-12-13,215,166,215,8
2024-12-20,220,169,220,8
2024-12-27,194,154,194,8
2025-01-03,170,142,170,4
