issuer_id,week_end,n_bonds
33695,2021-12-03,257
33695,2021-02-05,254
33695,2021-12-17,250
33695,2021-12-31,247
33695,2021-06-18,247
33695,2021-11-19,244
33695,2021-01-08,240
33695,2021-03-12,240
33695,2021-12-10,240
33695,2021-11-05,239
33695,2021-12-24,238
33695,2021-04-16,238
33695,2021-01-15,238
33695,2021-02-26,238
33695,2021-03-26,236
33695,2021-06-25,233
33695,2021-06-11,233
33695,2021-03-19,233
33695,2021-01-29,232
33695,2021-02-12,230
33695,2021-11-12,230
33695,2021-09-17,229
33695,2021-04-23,229
33695,2021-10-08,229
33695,2021-07-16,228
33695,2021-10-29,228
33695,2021-03-05,228
33695,2021-10-01,227
33695,2021-08-06,226
33695,2021-08-27,226
33695,2021-04-30,226
33695,2021-05-07,226
33695,2021-10-15,226
33695,2021-10-22,225
33695,2021-01-22,225
33695,2021-04-09,225
33695,2021-02-19,222
33695,2021-09-24,222
33695,2021-09-03,221
33695,2021-05-21,219
33695,2021-07-23,219
33695,2021-07-02,219
33695,2021-05-14,217
33695,2021-08-20,216
33695,2021-08-13,215
33695,2021-07-30,212
1771,2021-03-12,212
33695,2021-04-02,211
33695,2021-07-09,204
33695,2021-06-04,202
1771,2021-04-16,199
33695,2021-05-28,198
1771,2021-02-26,196
33695,2021-09-10,195
33695,2021-11-26,193
1771,2021-03-05,193
1771,2021-02-12,193
1771,2021-03-19,193
1771,2021-06-25,192
1771,2021-05-07,191
1771,2021-02-05,190
1771,2021-04-09,188
1771,2021-01-08,188
1771,2021-05-28,186
1771,2021-03-26,186
1771,2021-01-29,185
1771,2021-01-15,185
1771,2021-04-30,184
1771,2021-06-11,183
1771,2021-04-23,182
1771,2021-09-03,181
1771,2021-05-21,181
1771,2021-01-22,181
1771,2021-11-05,180
1771,2021-07-23,179
1771,2021-12-03,178
1771,2021-08-06,178
1771,2021-11-19,177
1771,2021-11-12,177
1771,2021-10-29,177
1771,2021-02-19,176
1771,2021-12-10,174
1771,2021-07-30,174
1771,2021-12-17,173
