issuer_id,week_end,n_bonds
33695,2024-01-05,341
33695,2024-05-03,324
33695,2024-08-02,324
33695,2024-03-15,323
33695,2024-07-12,318
33695,2024-12-13,318
33695,2024-06-28,318
33695,2024-09-20,315
33695,2024-08-09,315
33695,2024-03-01,314
33695,2024-05-17,313
33695,2024-11-22,312
33695,2024-11-01,309
33695,2024-07-26,309
33695,2024-08-30,308
33695,2024-09-13,308
33695,2024-03-08,307
33695,2024-05-10,307
33695,2024-10-04,304
33695,2024-03-22,304
33695,2024-12-06,303
33695,2024-11-08,302
33695,2024-04-12,302
33695,2024-12-20,300
33695,2024-06-21,298
33695,2024-10-25,298
33695,2024-01-12,294
33695,2024-09-27,294
33695,2024-06-07,293
33695,2024-05-31,293
33695,2024-11-15,292
33695,2024-05-24,291
33695,2024-04-19,290
33695,2024-08-23,289
33695,2024-04-05,289
33695,2024-04-26,288
33695,2024-08-16,287
33695,2024-02-02,287
33695,2024-07-19,287
33695,2024-06-14,284
33695,2024-02-09,283
33695,2024-01-26,280
33695,2024-02-16,279
33695,2024-03-29,273
33695,2024-07-05,270
33695,2024-10-18,267
33695,2024-10-11,265
33695,2024-09-06,263
33695,2024-02-23,255
33695,2024-11-29,253
33695,2024-01-19,251
33695,2024-12-27,247
33695,2025-01-03,166
35004,2024-12-20,165
35004,2024-12-13,149
35004,2024-11-22,137
1771,2024-03-22,130
1771,2024-03-15,129
1771,2024-02-02,128
1771,2024-03-08,128
1771,2024-04-19,127
32904,2024-12-13,127
1771,2024-01-05,127
33717,2024-11-08,126
35004,2024-11-15,126
1771,2024-05-10,125
33717,2024-12-13,125
1771,2024-04-05,125
1771,2024-09-20,124
1771,2024-01-12,124
1771,2024-01-26,124
1771,2024-05-03,123
32904,2024-08-30,123
1771,2024-10-25,123
1771,2024-06-07,122
1771,2024-12-13,122
32904,2024-08-02,122
1771,2024-03-01,121
1771,2024-12-06,121
1771,2024-11-08,121
33717,2024-11-01,121
1771,2024-07-12,121
1771,2024-02-09,120
1771,2024-04-12,120
1771,2024-09-13,120
1771,2024-02-16,120
1771,2024-11-01,120
1771,2024-09-27,119
33717,2024-12-06,119
1771,2024-06-14,119
1771,2024-05-17,119
33717,2024-10-25,118
35004,2024-12-27,118
33717,2024-12-20,118
1771,2024-12-20,118
1771,2024-08-02,117
33717,2024-09-20,117
1771,2024-07-19,116
35004,2024-11-08,116
35004,2024-12-06,116
32904,2024-11-22,116
35004,2024-09-13,116
1771,2024-08-16,116
32904,2024-12-20,116
32904,2024-09-20,116
1771,2024-01-19,115
33717,2024-09-13,115
32904,2024-07-26,115
