issuer_id,week_end,n_bonds
33695,2024-11-15,11
33695,2024-08-02,11
33695,2024-10-25,11
33695,2024-12-13,10
33695,2024-08-23,10
33695,2024-09-20,10
33695,2024-04-05,9
33695,2024-04-26,9
33695,2024-06-28,9
33695,2024-08-30,9
33695,2024-12-20,9
33695,2024-05-03,8
33695,2024-11-01,8
33695,2024-08-16,8
1771,2024-03-15,8
33695,2024-09-13,8
33695,2024-09-27,8
4130,2024-08-16,8
33695,2024-02-23,8
1771,2024-02-02,8
4130,2024-06-07,8
33695,2024-12-06,8
33695,2024-11-22,8
33695,2024-11-08,8
33695,2024-01-05,8
33695,2024-10-18,8
33695,2024-03-22,7
33695,2024-03-01,7
33695,2024-03-15,7
33695,2024-02-16,7
33695,2024-08-09,7
1771,2024-06-14,7
4130,2024-07-12,7
4130,2024-02-23,7
1771,2024-05-24,7
33695,2024-01-26,7
1771,2024-04-05,7
1771,2024-03-29,7
1771,2024-03-08,7
1771,2024-02-23,7
1771,2024-01-05,7
33695,2024-07-12,7
33695,2024-07-19,6
33695,2024-07-26,6
1771,2024-03-22,6
4130,2024-02-09,6
33695,2024-09-06,6
1771,2024-03-01,6
1771,2024-01-12,6
33695,2024-10-04,6
33695,2024-10-11,6
1771,2024-08-09,6
1771,2024-05-17,6
1771,2024-12-20,6
1771,2024-08-02,6
4130,2024-09-20,6
1771,2024-07-26,6
4130,2024-08-09,6
4130,2024-07-19,6
1771,2024-02-09,6
4130,2024-07-05,6
4130,2024-06-28,6
1771,2024-06-07,6
4130,2024-04-19,6
1771,2024-05-31,6
4130,2024-03-01,6
1771,2024-12-13,6
1771,2024-10-04,6
33695,2024-03-08,6
1771,2024-04-12,6
1771,2024-09-27,6
33695,2024-02-09,6
33695,2024-04-12,6
1771,2024-05-03,6
1771,2024-10-11,6
1771,2024-05-10,6
33695,2024-01-12,6
1771,2024-10-25,6
1771,2024-04-26,6
1771,2024-04-19,6
1771,2024-07-12,5
4130,2024-02-02,5
4130,2024-08-23,5
4130,2024-08-02,5
4130,2024-07-26,5
35004,2024-09-20,5
1771,2024-11-08,5
4130,2024-02-16,5
4130,2024-06-14,5
2921,2024-05-03,5
1771,2024-01-26,5
4130,2024-05-24,5
4130,2024-05-17,5
4130,2024-03-08,5
33695,2024-01-19,5
4130,2024-04-12,5
4130,2024-04-05,5
1771,2024-01-19,5
1771,2024-07-19,5
1771,2024-10-18,5
1771,2024-09-13,5
2921,2024-12-27,5
33695,2024-06-21,5
35004,2024-11-22,5
35004,2024-12-20,5
33695,2024-06-07,5
1771,2024-11-15,5
41821,2024-08-16,5
1771,2024-08-30,5
35499,2024-09-27,5
1771,2024-09-20,5
1771,2024-08-16,5
4130,2024-09-06,5
1771,2024-11-22,5
2921,2024-12-20,5
4130,2024-09-13,5
1771,2024-12-27,5
33695,2024-03-29,5
33695,2024-04-19,5
1771,2024-12-06,5
2921,2024-11-29,5
2921,2024-12-06,5
4130,2024-11-01,5
41821,2024-12-27,4
33695,2024-11-29,4
2921,2024-11-22,4
2921,2024-08-02,4
2921,2024-11-08,4
1771,2025-01-03,4
33717,2024-05-03,4
2921,2024-08-09,4
41821,2024-08-02,4
1771,2024-02-16,4
33695,2024-12-27,4
2921,2024-12-13,4
33695,2024-06-14,4
2921,2024-10-25,4
33695,2024-05-17,4
33695,2024-05-10,4
33695,2024-02-02,4
35004,2024-08-02,4
1771,2024-11-01,4
35004,2024-09-13,4
2921,2024-01-05,4
2921,2024-04-26,4
35499,2024-01-12,4
32904,2024-06-28,4
35499,2024-07-19,4
1771,2024-06-21,4
2921,2024-02-23,4
2921,2024-03-01,4
1771,2024-08-23,4
32904,2024-03-22,4
2921,2024-04-12,4
1771,2024-06-28,4
32904,2024-07-26,4
4130,2024-11-15,4
4130,2024-01-12,4
42277,2024-12-20,4
4130,2024-03-15,4
4130,2024-03-22,4
4130,2024-04-26,4
33717,2024-09-06,4
42277,2024-12-06,4
4130,2024-05-31,4
33695,2024-07-05,4
41821,2024-05-17,4
4130,2024-10-11,4
33717,2024-12-13,4
4130,2024-10-18,4
1771,2024-07-05,4
4130,2024-11-22,4
4130,2024-12-06,4
4130,2024-12-13,4
1771,2024-11-29,4
35004,2024-06-28,4
4130,2024-06-21,4
33717,2024-04-19,3
33717,2024-05-10,3
35499,2024-08-09,3
35499,2024-09-20,3
42277,2024-06-07,3
42277,2024-09-13,3
42277,2024-09-20,3
42277,2024-09-27,3
42277,2024-10-04,3
42277,2024-11-08,3
2921,2024-05-24,3
42277,2024-07-12,3
32904,2024-07-12,3
35004,2024-11-01,3
35499,2024-12-06,3
41821,2024-03-15,3
41821,2024-03-22,3
35004,2024-09-06,3
32904,2024-08-02,3
32904,2024-08-09,3
35004,2024-04-05,3
35004,2024-08-09,3
35499,2024-11-29,3
35004,2024-07-05,3
35004,2024-06-21,3
35004,2024-06-07,3
35004,2024-05-31,3
35004,2024-05-24,3
35004,2024-05-10,3
2921,2024-11-01,3
35004,2024-08-16,3
33717,2024-09-27,3
33717,2024-10-04,3
33717,2024-11-08,3
33717,2024-12-27,3
33717,2025-01-03,3
2921,2024-09-20,3
2921,2024-10-04,3
32904,2024-03-01,3
35004,2024-11-15,3
32904,2024-03-29,3
35499,2025-01-03,3
35499,2024-12-27,3
32904,2024-05-03,3
35499,2024-12-20,3
32904,2024-05-31,3
32904,2024-06-07,3
35499,2024-12-13,3
32904,2024-06-21,3
32904,2024-03-15,3
41821,2024-11-22,3
32904,2024-10-25,3
41821,2024-12-13,3
42277,2024-01-12,3
42277,2024-01-19,3
42277,2024-02-02,3
42277,2024-02-16,3
32904,2024-11-08,3
33717,2024-09-13,3
42277,2024-03-22,3
42277,2024-03-29,3
42277,2024-04-05,3
35499,2024-11-01,3
42277,2024-04-19,3
42277,2024-04-26,3
32904,2024-12-06,3
32904,2024-12-13,3
32904,2024-12-20,3
35499,2024-11-08,3
33717,2024-08-30,3
35004,2024-03-29,3
33717,2024-08-16,3
32904,2024-09-20,3
35004,2024-02-16,3
33717,2024-07-19,3
35004,2024-01-05,3
33717,2024-07-12,3
41821,2024-11-08,3
33717,2024-07-05,3
33717,2024-06-28,3
33717,2024-06-21,3
33717,2024-06-14,3
41821,2024-09-27,3
41821,2024-10-04,3
33717,2024-06-07,3
33717,2024-05-31,3
35499,2024-11-15,3
41821,2024-08-23,3
4130,2024-11-08,3
4130,2024-11-29,3
4130,2024-12-20,3
4130,2024-12-27,3
33695,2024-05-24,3
35499,2024-01-05,3
35499,2024-01-26,3
35499,2024-05-24,3
35499,2024-02-09,3
35499,2024-02-23,3
35499,2024-03-22,3
35499,2024-04-05,3
35499,2024-04-19,3
35499,2024-05-03,3
35499,2024-05-10,3
35499,2024-05-17,3
35499,2024-02-02,3
33717,2024-03-29,3
33717,2024-04-05,3
8276,2024-03-22,3
8276,2024-01-12,3
46451,2024-05-24,3
33717,2024-01-19,3
33717,2024-01-05,3
33695,2025-01-03,3
4130,2024-10-25,3
4130,2024-01-05,3
4130,2024-01-19,3
4130,2024-01-26,3
4130,2024-03-29,3
4130,2024-05-03,3
4130,2024-05-10,3
4130,2024-08-30,3
4130,2024-09-27,3
8276,2024-06-28,3
35499,2024-07-05,3
42175,2024-01-05,3
42175,2024-01-12,3
42175,2024-01-19,3
42175,2024-01-26,3
42175,2024-02-02,3
42175,2024-02-09,3
42175,2024-02-16,3
35499,2024-08-02,3
42175,2024-02-23,3
35499,2024-06-28,3
35499,2024-07-26,3
2921,2024-02-02,3
35499,2024-06-07,3
42175,2024-03-01,3
42277,2024-12-27,3
35499,2024-05-31,3
1771,2024-09-06,3
2921,2024-05-17,3
2921,2024-05-10,3
2921,2024-04-19,3
32904,2024-08-23,2
415,2024-01-05,2
33276,2024-08-23,2
33276,2024-08-16,2
3285,2024-10-18,2
3285,2024-09-27,2
3285,2024-11-01,2
3285,2024-10-25,2
35499,2024-11-22,2
33276,2024-08-30,2
3285,2024-10-11,2
32904,2024-09-06,2
32904,2024-09-13,2
415,2024-01-12,2
32904,2024-09-27,2
415,2024-01-19,2
415,2024-01-26,2
415,2024-02-02,2
415,2024-02-09,2
415,2024-02-16,2
415,2024-02-23,2
415,2024-03-08,2
415,2024-03-01,2
3285,2024-11-08,2
33276,2024-12-13,2
32904,2024-05-24,2
32904,2024-05-17,2
33276,2024-12-20,2
3285,2024-12-13,2
33276,2024-12-27,2
32904,2024-04-12,2
2921,2024-10-11,2
33276,2025-01-03,2
33276,2024-09-06,2
3285,2024-12-20,2
32904,2024-02-23,2
3285,2024-12-27,2
42175,2024-08-30,2
3285,2025-01-03,2
42175,2024-08-23,2
42175,2024-08-16,2
4354,2025-01-03,2
4354,2024-12-27,2
32904,2024-03-08,2
41495,2024-11-29,2
33276,2024-09-13,2
33276,2024-09-20,2
33276,2024-09-27,2
33276,2024-10-04,2
33276,2024-10-11,2
33276,2024-10-18,2
33276,2024-10-25,2
41495,2024-05-24,2
33276,2024-12-06,2
33276,2024-11-08,2
33276,2024-11-15,2
3285,2024-11-15,2
32904,2024-07-05,2
3285,2024-11-22,2
3285,2024-11-29,2
33276,2024-11-22,2
3285,2024-12-06,2
33276,2024-11-29,2
33276,2024-11-01,2
24207,2024-07-05,2
24207,2024-07-12,2
24207,2024-07-19,2
24207,2024-07-26,2
24207,2024-08-02,2
24207,2024-08-09,2
24207,2024-08-16,2
24207,2024-08-23,2
24207,2024-08-30,2
24207,2024-09-06,2
24207,2024-09-13,2
3285,2024-10-04,2
24207,2024-09-27,2
24207,2024-10-04,2
24207,2024-10-11,2
24207,2024-10-18,2
24207,2024-10-25,2
24207,2024-11-01,2
24207,2024-11-08,2
24207,2024-11-15,2
24207,2024-11-22,2
24207,2024-11-29,2
24207,2024-12-06,2
24207,2024-12-13,2
24207,2024-09-20,2
24207,2024-06-14,2
24207,2024-06-07,2
24207,2024-05-31,2
24207,2024-05-24,2
24207,2024-05-17,2
24207,2024-05-10,2
24207,2024-05-03,2
24207,2024-04-26,2
24207,2024-04-19,2
24207,2024-04-12,2
24207,2024-04-05,2
24207,2024-03-29,2
24207,2024-01-05,2
24207,2024-03-15,2
24207,2024-03-08,2
24207,2024-03-01,2
24207,2024-02-23,2
24207,2024-02-16,2
24207,2024-02-09,2
24207,2024-02-02,2
24207,2024-01-26,2
24207,2024-06-21,2
24207,2024-01-19,2
24207,2024-06-28,2
24207,2024-01-12,2
24207,2024-03-22,2
33276,2024-06-28,2
33276,2024-07-05,2
33276,2024-07-12,2
32904,2024-11-22,2
33276,2024-07-19,2
33276,2024-07-26,2
33276,2024-08-02,2
33276,2024-08-09,2
415,2024-06-07,2
32904,2024-11-01,2
415,2024-05-31,2
24207,2024-12-20,2
415,2024-05-17,2
415,2024-05-10,2
32904,2024-10-18,2
415,2024-05-03,2
32904,2024-10-11,2
415,2024-04-26,2
415,2024-04-19,2
415,2024-04-12,2
415,2024-04-05,2
415,2024-03-29,2
415,2024-03-22,2
415,2024-03-15,2
