target_month,rows,rows_with_target,unique_cusips,unique_issuers,rows_with_issuer_demeaned_target
2004-02-29,8223,4271,8223,652,4260.0
2004-03-31,8012,4176,8012,635,4164.0
2004-04-30,8089,4129,8089,622,4118.0
2004-05-31,8422,4213,8422,648,4201.0
2004-06-30,8128,4053,8128,628,4046.0
2004-07-31,8017,4042,8017,623,4034.0
2004-08-31,8249,4116,8249,643,4107.0
2004-09-30,7954,3975,7954,628,3968.0
2004-10-31,7882,3887,7882,621,3878.0
2004-11-30,8514,4039,8514,637,4032.0
2004-12-31,8265,3918,8265,626,3909.0
2005-01-31,8757,4010,8757,634,4002.0
2005-02-28,8417,3962,8417,637,3950.0
2005-03-31,8399,3870,8399,628,3856.0
2005-04-30,8328,3831,8328,619,3817.0
2005-05-31,8783,3888,8783,632,3877.0
2005-06-30,8314,3757,8314,621,3750.0
2005-07-31,8373,3817,8373,624,3810.0
2005-08-31,8636,3872,8636,628,3861.0
2005-09-30,8324,3733,8324,614,3725.0
2005-10-31,8958,3827,8958,624,3816.0
2005-11-30,8574,3735,8574,603,3724.0
2005-12-31,8454,3653,8454,599,3640.0
2006-01-31,9212,3787,9212,611,3779.0
2006-02-28,8793,3774,8793,628,3764.0
2006-03-31,8570,3827,8570,634,3816.0
2006-04-30,9085,3884,9085,638,3875.0
2006-05-31,8712,3796,8712,631,3786.0
2006-06-30,8821,3795,8821,632,3787.0
2006-07-31,8984,3822,8984,628,3810.0
2006-08-31,8250,3630,8250,604,3621.0
2006-09-30,8452,3680,8452,606,3670.0
2006-10-31,8941,3817,8941,625,3808.0
2006-11-30,8545,3779,8545,624,3767.0
2006-12-31,8583,3700,8583,606,3689.0
2007-01-31,9390,3813,9390,632,3801.0
2007-02-28,8586,3692,8586,610,3683.0
2007-03-31,8563,3703,8563,614,3693.0
2007-04-30,9130,3815,9130,623,3806.0
2007-05-31,8812,3731,8812,619,3722.0
2007-06-30,8773,3694,8773,615,3681.0
2007-07-31,9345,3852,9345,624,3843.0
2007-08-31,8153,3529,8153,578,3521.0
2007-09-30,8517,3561,8517,563,3551.0
2007-10-31,8314,3659,8314,600,3650.0
