target_month,rows,rows_with_target,unique_cusips,unique_issuers,rows_with_issuer_demeaned_target
2024-02-29,10288,8965,10288,844,8964.0
2024-03-31,10455,9094,10455,849,9091.0
2024-04-30,10916,9422,10916,851,9420.0
2024-05-31,10617,9276,10617,841,9274.0
2024-06-30,11056,9566,11056,851,9565.0
2024-07-31,10880,9473,10880,853,9472.0
2024-08-31,10801,9406,10801,848,9404.0
2024-09-30,11357,9710,11357,853,9708.0
2024-10-31,11120,9613,11120,862,9611.0
2024-11-30,10892,9470,10892,860,9467.0
2024-12-31,11428,9813,11428,870,9809.0
2025-01-31,11207,9631,11207,860,9629.0
2025-02-28,8064,7545,8064,780,7545.0
