issuer_id,feature_month,target_month,issuer_n,k_each_side,long_ret,short_ret,issuer_spread,long_mean_residual_bps,short_mean_residual_bps
37024,2024-04-30,2024-05-31,4,1,0.5401590196211427,-0.32071030918854554,0.8608693288096883,150.29738985829937,-153.49952236857476
37024,2024-05-31,2024-06-30,4,1,0.25715723378264416,-0.18948654834781348,0.44664378213045763,-1.4210854715202004e-12,-94.59445397631576
50399,2024-05-31,2024-06-30,3,1,0.1275670470716084,-0.19274686253340945,0.3203139096050178,1.1652900866465643e-10,-1.5489831639570184e-10
34850,2024-08-31,2024-09-30,3,1,0.05567133941405805,-0.18809149150363919,0.24376283091769724,0.0,-2.6645352591003757e-13
4409,2024-06-30,2024-07-31,8,1,0.1678609509714487,-0.01803805465696197,0.18589900562841066,103.30620766135664,-49.49936146277443
45801,2024-05-31,2024-06-30,7,1,0.08821268246362778,-0.06211431551220388,0.15032699797583166,8.397334897372488,-11.333734847453325
34850,2024-04-30,2024-05-31,3,1,0.12235035712321424,-0.025965694328324056,0.14831605145153828,3.552713678800501e-13,0.0
50399,2024-08-31,2024-09-30,3,1,0.07893540127956768,-0.06320334334503802,0.14213874462460568,1.4210854715202004e-12,0.0
36722,2024-01-31,2024-02-29,10,2,0.11982631923431421,-0.020953423002657175,0.14077974223697137,30.79096938866566,-35.223538059700175
43911,2024-09-30,2024-10-31,3,1,0.045486913225023295,-0.07728953838508448,0.12277645161010778,8.881784197001252e-14,-8.881784197001252e-14
4208,2024-11-30,2024-12-31,8,1,0.07356008356310598,-0.04621162626306948,0.11977170982617547,6.785133468507176,-4.939544009600638
36722,2024-02-29,2024-03-31,8,1,0.05868293474314107,-0.05720888188102978,0.11589181662417085,7.303361938245878,-103.32720162807236
40811,2024-08-31,2024-09-30,9,1,0.09121931531493124,-0.024610498876742333,0.11582981419167357,63.81638680919419,-4.465037333916921
1769,2024-03-31,2024-04-30,6,1,0.05607999918325667,-0.05911063461560271,0.11519063379885938,50.447703172127234,-31.53543209601244
40163,2024-09-30,2024-10-31,8,1,0.032583245556541705,-0.08090714085666068,0.11349038641320239,854.5648086977071,-416.766810787249
34726,2024-02-29,2024-03-31,4,1,0.02372308710798053,-0.0864389445884964,0.11016203169647693,8.881784197001252e-14,-8.881784197001252e-14
34726,2024-05-31,2024-06-30,4,1,0.06343781116777776,-0.0404577044453806,0.10389551561315835,15.091394576705586,-1.7763568394002505e-13
4409,2024-07-31,2024-08-31,8,1,0.10141725256493449,0.0019404488916559964,0.09947680367327849,105.8342619319026,-38.3015444475256
40783,2024-11-30,2024-12-31,9,1,0.03031540954625108,-0.06888691185461288,0.09920232140086396,30.813896692796217,-37.45558953137929
37024,2024-03-31,2024-04-30,4,1,0.12426924948756159,0.025435864886839167,0.09883338460072241,690.006805304651,-377.6169227530851
40163,2024-01-31,2024-02-29,8,1,0.025856548143666468,-0.06907515094905013,0.09493169909271659,191.4319035672764,-239.6206921558993
40820,2024-01-31,2024-02-29,5,1,0.08957772113107543,-0.005302034568660283,0.09487975569973571,16.854650301658047,-23.77221236003315
2703,2024-11-30,2024-12-31,5,1,0.06653614705912586,-0.026190590571476897,0.09272673763060275,14.663693553204382,-7.821636238714724
6210,2024-12-31,2025-01-31,7,1,0.014875395405131225,-0.07708408566419074,0.09195948106932196,8.962363218809344,-19.2984477121934
49493,2024-08-31,2024-09-30,5,1,0.021186420875600544,-0.06792486973180424,0.08911129060740479,2.595609474021643,-27.912195576181364
