issuer_id,feature_month,target_month,issuer_n,k_each_side,long_ret,short_ret,issuer_spread,long_mean_residual_bps,short_mean_residual_bps
37581,2010-06-30,2010-07-31,26,5,-3.790900467314573,15.933430082834622,-19.724330550149194,25.71520718045242,-106.22017359395622
21,2004-10-31,2004-11-30,3,1,-4.399053254741286,8.78201485447482,-13.181068109216106,1.7763568394002505e-13,0.0
2032,2009-02-28,2009-03-31,3,1,-2.3760056331287,4.532720131772233,-6.908725764900933,2.8421709430404007e-12,-1.4210854715202004e-12
2375,2009-06-30,2009-07-31,3,1,-0.8619772577987872,1.254920239311201,-2.116897497109988,4.618527782440651e-10,2.7853275241795927e-10
34487,2020-10-31,2020-11-30,3,1,-0.5455299044745935,0.9771988155862326,-1.522728720060826,-2.1316282072803006e-12,-2.8421709430404007e-12
21,2004-11-30,2004-12-31,3,1,-0.9125440323885822,0.4545300000157502,-1.3670740324043325,-8.881784197001252e-14,-8.881784197001252e-14
4515,2004-06-30,2004-07-31,4,1,-0.9646476281976233,0.31449831188140487,-1.2791459400790282,4.418548800267352,-8.881784197001252e-14
36000,2004-07-31,2004-08-31,3,1,-0.3778448685225907,0.7759009744182548,-1.1537458429408454,0.0,-8.881784197001252e-14
4283,2008-11-30,2008-12-31,4,1,-0.42394142905323323,0.7253543090379602,-1.1492957380911935,-4.291678123991005e-10,-1.0455980994219516
490,2011-03-31,2011-04-30,3,1,-0.3604175148709972,0.7507783125062466,-1.1111958273772438,3.339550858072471e-11,-2.948752353404416e-11
5822,2009-03-31,2009-04-30,3,1,-0.677592048878541,0.35734821811092776,-1.0349402669894687,1.9895196601282805e-10,-6.110667527536862e-11
20,2009-11-30,2009-12-31,7,1,-0.23852242853615702,0.7475408243129762,-0.9860632528491332,206.1918091089595,-301.6061412136306
920,2008-10-31,2008-11-30,3,1,-0.5413859379023092,0.3995751587282407,-0.9409610966305498,-3.552713678800501e-13,-7.105427357601002e-13
1560,2009-07-31,2009-08-31,3,1,-0.27311619375411444,0.6253301317151989,-0.8984463254693134,-3.268496584496461e-11,-8.775202786637237e-11
5174,2008-11-30,2008-12-31,3,1,-0.18283690689745977,0.6936336156799063,-0.8764705225773661,-3.197442310920451e-12,-4.973799150320701e-12
5100,2009-07-31,2009-08-31,4,1,-0.5053485351170215,0.35635002290333107,-0.8616985580203526,71.2673890087352,-100.03642765793117
14687,2020-03-31,2020-04-30,3,1,-0.6378234677318233,0.2134112423719627,-0.851234710103786,1.609379296496627e-10,-6.110667527536862e-11
2776,2009-01-31,2009-02-28,3,1,-0.3467328757466338,0.4345783355707792,-0.781311211317413,-1.7763568394002505e-13,-3.552713678800501e-13
5241,2009-02-28,2009-03-31,3,1,-0.2123400114112332,0.523553320473765,-0.7358933318849983,1.7763568394002505e-13,-1.7763568394002505e-13
11574,2008-10-31,2008-11-30,3,1,-0.4510133998501631,0.2749221517234843,-0.7259355515736474,0.0,-1.7763568394002505e-13
33626,2006-06-30,2006-07-31,3,1,-0.42826880193524786,0.2956394808617376,-0.7239082827969854,8.247671380279087,-19.507494528811264
5387,2009-01-31,2009-02-28,4,1,-0.1831440524544812,0.5310466100471755,-0.7141906625016566,12.085259055150122,-10.185893474526875
2776,2004-04-30,2004-05-31,3,1,-0.2157661203191632,0.49185208454775425,-0.7076182048669175,-8.881784197001252e-14,-5.329070518200751e-13
5100,2009-08-31,2009-09-30,5,1,-0.4693230847849633,0.2310719070335575,-0.7003949918185208,113.55020791050379,-2.682900000000643
1560,2009-02-28,2009-03-31,3,1,-0.46212192142537023,0.22601418135228588,-0.6881361027776561,3.552713678800501e-12,1.4210854715202004e-12
