month,rows,cusips,trades,size_sum,yield_mean
2004-01-31,82502,10646,440078,397666052733.83997,5.179476649177202
2004-02-29,77515,10451,399754,323200717331.03,5.075604510052042
2004-03-31,92225,10802,471376,357693348661.44,4.855864592951107
2004-04-30,83479,10641,424560,333566266372.25,5.189611569451394
2004-05-31,79616,10521,435210,318246343056.91,5.72665149201441
2004-06-30,85688,10807,452469,333468769945.24,5.776361426583896
2004-07-31,79765,10415,432629,330213933597.04,5.523702721191101
2004-08-31,81900,10559,426328,349437358674.79,5.424288005476502
2004-09-30,77731,10481,399599,355337233462.52,5.2815174696158085
2004-10-31,74821,10548,390077,347927306329.07,5.320482668282089
2004-11-30,77841,10916,416234,303526744884.95,5.317453832036052
2004-12-31,82634,11037,409273,258185562429.1,5.30404213603201
2005-01-31,80520,10977,454561,320220030465.6,5.412926004745457
2005-02-28,75273,10839,410379,316847506065.5,5.38837882343115
2005-03-31,88230,11083,524632,325787699626.25,5.893210268246437
2005-04-30,82923,10848,476876,292052804722.8,6.396395920310909
2005-05-31,82848,10868,486623,293278229557.7,6.553600742900109
2005-06-30,86719,11152,441931,341310967141.51,6.13893907453752
2005-07-31,74909,10640,355388,237925018608.94,6.166410405052364
2005-08-31,83853,11035,383789,225234835026.36,6.2401613165139675
2005-09-30,80356,11121,367719,240837566493.05,6.351383613737453
2005-10-31,79523,11081,396683,254963347691.81,6.895406129813676
2005-11-30,80003,11202,405713,249618819688.34,7.274306120270962
2005-12-31,83492,11318,402136,188710172241.26,7.5028735107368245
2006-01-31,84554,11500,407325,291680893489.9,7.0963402463643765
2006-02-28,76558,10963,366684,241703235195.77,6.943518250453375
2006-03-31,92107,11407,427416,271899915127.97,7.117191760668592
2006-04-30,76978,11113,350211,232232140715.96,7.20814444818416
2006-05-31,86425,11497,380526,266804289750.41,7.1112156863575215
2006-06-30,83318,11261,370748,237860632640.36,7.1991824166771305
2006-07-31,72373,10750,316471,196557175342.04,7.157084203656928
2006-08-31,84421,11146,384180,231572705323.63,6.927597435706443
2006-09-30,77358,10985,354681,242439073763.68,6.781380807667256
2006-10-31,83011,11200,378317,260828987434.2,6.755560557277662
2006-11-30,81190,11327,366004,256393610594.68,6.614383092492896
2006-12-31,76221,11302,331514,196768679300.58002,6.470743383729742
2007-01-31,81977,11291,384600,299004772319.39,6.50510137773867
2007-02-28,72273,10927,324741,241229812036.76,6.43146083715867
2007-03-31,80912,11158,354256,265762249961.15,6.407978520687651
2007-04-30,75336,11234,316711,218940648640.49,6.45745061252983
2007-05-31,80879,11330,354974,234952351851.03,6.418792813222308
2007-06-30,79011,11395,358991,236303894198.45,6.642689876520283
2007-07-31,69505,10623,311600,210967763803.71,6.894308217399535
2007-08-31,71677,10560,326859,223679147052.76,7.230902226008927
2007-09-30,66136,10463,321153,208743477376.17,7.013586468996514
2007-10-31,76658,10913,346907,243690143075.27,6.854753587962203
2007-11-30,67006,10547,316606,185665779861.49,7.19612572935236
2007-12-31,66929,10563,320991,167062737709.53,7.347917642641572
2008-01-31,74377,10918,422770,259167773624.25,7.287818125752339
2008-02-29,67743,10291,421550,239309114287.43,7.057925628584918
2008-03-31,67592,10243,398853,214245365190.32,7.772234264288857
2008-04-30,77225,10592,444946,270149482134.02,7.409514633297544
2008-05-31,73932,10216,436640,264769694362.91,7.151662894741276
2008-06-30,72643,10236,421791,216693515154.19,7.527012386769397
2008-07-31,75372,10159,431044,196448248722.3,8.493160127084801
2008-08-31,68118,9660,408644,155755433938.87,8.403636454044785
2008-09-30,68493,9820,450156,223981847955.01,10.316975314937114
2008-10-31,72178,9759,626937,258740021454.25,14.174262548128697
2008-11-30,57883,9185,508830,178606322212.52,13.615655633769295
2008-12-31,73630,9709,616254,227218560344.02,13.485565207925081
2009-01-31,73936,9738,729568,288343781234.6,10.873104886409463
2009-02-28,70967,9715,702224,265132709970.34,11.318485558924408
2009-03-31,83376,9894,910156,299622725977.16,13.09166755947175
2009-04-30,77290,9294,886613,305550439742.63,12.052257956291838
2009-05-31,76390,9382,864098,341375585103.67,9.767193794510774
2009-06-30,88629,10004,877258,370255385611.99,8.348058940217152
2009-07-31,91224,10164,879341,326309733792.34,8.493662664784985
2009-08-31,90001,10233,778760,284632794563.54,7.5252808610222255
2009-09-30,95120,10569,789302,317822509342.42,6.841546681256753
2009-10-31,98497,10467,798700,335929370530.91003,6.83660330453185
2009-11-30,86247,10424,627450,257989179634.53,6.000874007622492
2009-12-31,95008,10221,662763,247630421623.97,5.703269463926946
2010-01-31,88798,10153,675226,318635821350.08,5.576725582565737
2010-02-28,84563,9978,671591,274252632032.14,5.556553833706344
2010-03-31,103479,9908,821143,382119846445.67,5.33024592611952
2010-04-30,93565,9746,693731,317246805620.77,5.1690799286930265
2010-05-31,84454,9475,656867,285932481354.22,5.218445784085375
2010-06-30,92065,9504,740886,287804157854.17,5.264324244053647
2010-07-31,87100,9360,650776,271686774437.79,4.972922100388067
2010-08-31,94951,9604,754235,323861230793.68,4.699483010679314
2010-09-30,92808,9505,708829,344703933233.32,4.595420886406672
2010-10-31,90401,9464,674262,334565281844.99,4.439458801448188
2010-11-30,87969,9542,629340,301233856302.9,4.460238537347631
2010-12-31,94284,9595,655722,269341771647.24,4.729543142769828
2011-01-31,89481,9389,661415,441863100719.16003,4.617881228404148
2011-02-28,85418,9267,666755,344985775519.84,4.560228247298482
2011-03-31,101692,9438,760249,394201673081.71,4.50780846478078
2011-04-30,87188,9153,603485,317180482688.97,4.459028726774885
2011-05-31,90550,9268,631608,334918505465.27,4.252713252075153
2011-06-30,96072,9285,669400,327370099325.75,4.297461228619989
2011-07-31,83513,9050,535216,289088160866.61,4.312433286825957
2011-08-31,96556,9181,683717,349878417338.9,4.605561356031359
2011-09-30,83067,8828,609322,284204301838.43,4.734942641480114
2011-10-31,84980,8938,660506,302526620888.66,4.941158436329376
2011-11-30,82092,8898,639004,233841010696.01,4.673956957697194
2011-12-31,85665,9021,612963,204859411742.94,4.693613948596359
